NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
20020	450	11	1	
20022	450	6.4	2	
20033	450	4.9	2	
20035	450	38	1	
20037	450	4.7	1	
20038	450	5	1	
20045	450	0.7	2	
20063	450	8.3	1	
20080	450	13	2	
20081	450	5.7	2	
20109	450	50	1	
20110	450	9.3	1	
20120	450	9.7	2	
20121	450	3.5	2	
20131	450	4.9	1	
20138	450	5.9	1	
20142	450	7.3	1	
20317	450	1.9	1	
21005	450	2.5	1	
21007	450	2.2	1	
21009	450	3.2	1	
21011	450	3.2	1	
21014	450	3.4	1	
21020	450	4.5	1	
21022	450	2.9	1	
21024	450	6.4	1	
21026	450	7.2	1	
21060	450	16	1	
21064	450	16	1	
21078	450	4.8	1	
21080	450	7.5	1	
21082	450	11	1	
21083	450	8.8	1	
21089	450	3	1	
21098	450	3.1	1	
21100	450	5.4	3	
21102	450	5.5	3	
21106	450	7.4	2	
21107	450	5.6	6	
21114	450	9.5	2	
21138	450	11	3	
21202	450	5	3	
21226	450	11	1	
21229	450	3.1	5	
21230	450	5.7	1	
21299	450	5.9	8	
21300	450	6	7	
21301	450	8.8	3	
21302	450	10	7	
21303	450	9.7	7	
21304	450	8.3	4	
21388	450	4.5	1	
21401	450	2.7	3	
21409	450	3.7	1	
21410	450	3.9	1	
21411	450	4	1	
22247	450	2.8	1	
22902	450	8.1	1	
22903	450	11	1	
22904	450	12	1	
22905	450	2.9	1	
22912	450	5.4	1	
22916	450	5.2	1	
22927	450	14	1	
22928	450	15	1	
23030	450	0.8	1	
23031	450	0.4	1	
23032	450	0.9	1	
23033	450	0.5	1	
23034	450	1	1	
23035	450	0.7	1	
23036	450	0.9	1	
23037	450	0.8	1	
23038	450	0.6	1	
23039	450	1	1	
23040	450	0.7	1	
23041	450	1.9	1	
23042	450	1.6	1	
23043	450	2.2	1	
23044	450	1.7	1	
23045	450	0.6	1	
23046	450	0.5	1	
23047	450	0.6	1	
23048	450	0.5	1	
23049	450	0.8	1	
23050	450	0.5	1	
23051	450	0.9	1	
23052	450	0.5	1	
23065	450	0.7	1	
23557	450	2.5	1	
23558	450	2.2	1	
23562	450	2.5	1	
23563	450	2.2	1	
23567	450	2.6	1	
23568	450	2.2	1	
23572	450	2.6	1	
23573	450	2.3	1	
23577	450	2.6	1	
23578	450	2.3	1	
25000	450	5.4	1	
25013	450	3.9	1	
25014	450	5.5	1	
25017	450	7.8	1	
25020	450	19	1	
25021	450	14	1	
35009	450	42	1	
35015	450	1.4	1	
35055	450	17	1	
35056	450	7.9	1	
35149	450	8.6	4	
35150	450	31	1	
35151	450	20	1	
35152	450	23	1	
35153	450	20	1	
35155	450	2.9	1	
35157	450	7.1	1	
35158	450	12	1	
35160	450	15	1	
35161	450	51	1	
35162	450	2.2	1	
35164	450	6.8	1	
35165	450	50	1	
35166	450	12	1	
35167	450	12	1	
35168	450	8.8	1	
35169	450	12	1	
35171	450	64	2	
35179	450	6.7	2	
35180	450	15	1	
35181	450	2.6	1	
35182	450	1.3	1	
35184	450	170	1	
35187	450	6.3	1	
35188	450	5.5	3	
35190	450	46	2	
35193	450	5.2	1	
35196	450	13	1	
42187	450	5.1	1	
42289	450	0	2	
43133	450	9.9	1	
43261	450	3.3	1	
98001	450	1.6	1	
98005	450	0.7	1	
98010	450	6.4	1	
98011	450	4.4	2	
98013	450	2.2	2	
98014	450	5.2	1	
98015	450	0.4	1	
98019	450	14	1	
98020	450	11	1	
98021	450	15	1	
98022	450	1.7	1	
98024	450	3	1	
98026	450	3.8	1	
98028	450	0	1	
98029	450	0.1	1	
98030	450	1.8	2	
98031	450	7.9	1	
98032	450	9.6	1	
98033	450	12	2	
98034	450	3.7	1	
98035	450	2.7	1	
98039	450	6.7	1	
98041	450	5.5	1	
98042	450	5.8	3	
98043	450	3.8	2	
98047	450	4.6	1	
98050	450	5	1	
98051	450	4.8	1	
98052	450	3.3	1	
